"ID","Handle","Command","Title","Body HTML","Vendor","Type","Tags","Tags Command","Created At","Updated At","Status","Published","Published At","Published Scope","Template Suffix","Gift Card","URL","Row #","Top Row","Category: ID","Category: Name","Category","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant Barcode","Variant SKU","Variant Price","Variant Compare At Price","Variant Image","Image Src","Image Position","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: custom.min-qty [number_integer]","Metafield: custom.in_catalog [boolean]","Variant Metafield: custom.in_catalog [boolean]","Variant Metafield: harmonized_system_code [string]"
"8394555785530","grrilla","MERGE","Grrilla","Meet the Grrilla - our bristle-free grill scraper. Use this to avoid those traditional harmful bristle brushes that can shed metal wires and pose a health risk. Grrilla is laser cut from stainless steel, creating a dishwasher safe grilling accessory. This modern scraper is compatible with almost any model of charcoal, propane, and campground grills. <br>For gas grills - turn grill on to burn off residue, turn gas off to scrape remaining residue. Charcoal Grills - scrape off residue before lighting charcoal.","Zootility","Zootility Tools","Faire, min 12","REPLACE","2023-07-05 14:01:25 -0400","2024-07-14 11:27:17 -0400","Active","true","2023-07-05 14:01:23 -0400","global","","false","https://wholesale.zootility.com/products/grrilla","1","true","9483","Uncategorized","Uncategorized","45556236681530","MERGE","Title","Default Title","","","748252680822","GR-G","6.50","12.95","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-G.png?v=1688585626","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-G.jpg?v=1688585626","1","","","12","true","true",""
"8394555785530","grrilla","MERGE","Grrilla","","Zootility","Zootility Tools","Faire, min 12","REPLACE","2023-07-05 14:01:25 -0400","2024-07-14 11:27:17 -0400","Active","true","2023-07-05 14:01:23 -0400","global","","false","https://wholesale.zootility.com/products/grrilla","2","","9483","Uncategorized","Uncategorized","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-G.png?v=1688585626","2","","","","","",""
"8394555883834","meat-charms","MERGE","Meat Charms","<p>Keep track of the requested doneness level for each of your guests, on the grill and on the serving platter. Each pack consists of 6 charms: 2 Rare, 2 Medium Rare, 1 Medium, and 1 Medium Well. These laser cut stainless steel charms are food and dishwasher safe.</p>","Zootility","Backyard & Bar","Faire, min 6","REPLACE","2023-07-05 14:01:29 -0400","2024-07-21 22:17:40 -0400","Draft","false","","web","","false","https://wholesale.zootility.com/products/meat-charms","3","true","9483","Uncategorized","Uncategorized","45556239008058","MERGE","Title","Default Title","","","748252681126","GR-MC-6","6.50","12.95","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-MC-6.png?v=1688585629","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-MC.jpg?v=1688585629","1","","","6","false","true",""
"8394555883834","meat-charms","MERGE","Meat Charms","","Zootility","Backyard & Bar","Faire, min 6","REPLACE","2023-07-05 14:01:29 -0400","2024-07-21 22:17:40 -0400","Draft","false","","web","","false","https://wholesale.zootility.com/products/meat-charms","4","","9483","Uncategorized","Uncategorized","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/GR-MC-6.png?v=1688585629","2","","","","","",""
"8394556080442","tangram-puzzle-coaster","MERGE","Tangram Puzzle Coaster","This set of 4 innovative drink coasters is perfect for parties, family gatherings, or just a cozy night in. Keep your furniture protected while challenging your mind with this interactive and engaging game.<br><br>Key Features:<br><ul>
<li>Set of 4 absorbent coasters, designed to protect your surfaces from spills and condensation</li>
<li>Made of water-absorbent felt with a stain-resistant finish, ensuring a durable and lasting product</li>
<li>Cork bottom provides a non-slip surface, keeping your drinks steady and your table free from scratches</li>
<li>Each coaster features 7 removable puzzle pieces, designed to be assembled into a variety of Tangram shapes</li>
<li>16+ games in one, offering endless hours of fun and mental stimulation</li>
<li>Play solo or engage in friendly competition with friends and family</li>
<li>Proudly made in the USA, ensuring high-quality craftsmanship</li>
</ul><br>Challenge yourself or engage in friendly competition as you explore 16 unique Tangram puzzles. Each coaster has a hidden challenge, revealed by simply removing the puzzle pieces from the coaster's surface. Test your creativity and dexterity as you attempt to replicate animals and other intricate outlines provided on the inside of each coaster.<br><br>The Tangram Puzzle Coaster Set is an ideal gift for those who appreciate both style and entertainment. Whether it's for a housewarming, birthday, or just a thoughtful gesture, this set is sure to delight and impress. Elevate your next gathering or bring a touch of whimsy to your daily routine with this exciting and functional conversation piece. Order your set today and immerse yourself in the captivating world of Tangram puzzles!<br>","Zootility","Backyard & Bar","min 6","REPLACE","2023-07-05 14:01:32 -0400","2024-05-13 21:52:55 -0400","Archived","false","","web","","false","https://wholesale.zootility.com/products/tangram-puzzle-coaster","5","true","","","","45556241400122","MERGE","Color","4-Pack","","","816265027283","H-TPC-4","12.00","24.95","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/H-TPC-4.png?v=1688585632","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/H-TPC.jpg?v=1688585632","1","","","3","false","false",""
"8394556080442","tangram-puzzle-coaster","MERGE","Tangram Puzzle Coaster","","Zootility","Backyard & Bar","min 6","REPLACE","2023-07-05 14:01:32 -0400","2024-05-13 21:52:55 -0400","Archived","false","","web","","false","https://wholesale.zootility.com/products/tangram-puzzle-coaster","6","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/H-TPC-4.png?v=1688585632","2","","","","","",""
"8394557030714","northstar-notebook","MERGE","Northstar Notebook","<span style=""background-color: rgb(255, 255, 255);"">A notebook worthy of being carried everywhere you go. It contains <span style=""background-color: rgb(255, 255, 255);"">160 pages dotted with a subtle grid pattern for ease of note-taking and sketching.</span> Measuring 5 by 9 inches, this notebook is perfectly sized for portability without compromising on writing space. A distinguishing feature is the leather magnetic strip latch that ensures your pages remain undisturbed and even incorporates a convenient pen holder. Designed for durability, versatility, and style, the Northstar Notebook is your steadfast companion at work, home, or on the trail.</span><br>","Zootility","Peak and Port Bags","min 3","REPLACE","2023-07-05 14:02:03 -0400","2024-05-13 21:52:39 -0400","Archived","false","","web","","false","https://wholesale.zootility.com/products/northstar-notebook","7","true","","","","45556266959162","MERGE","Color","Black / Black","","","816265027894","PS-NN-BB","19.50","39.95","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-BB.png?v=1688586032","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN.jpg?v=1688586032","1","","","3","false","false",""
"8394557030714","northstar-notebook","MERGE","Northstar Notebook","","Zootility","Peak and Port Bags","min 3","REPLACE","2023-07-05 14:02:03 -0400","2024-05-13 21:52:39 -0400","Archived","false","","web","","false","https://wholesale.zootility.com/products/northstar-notebook","8","","","","","45556266991930","MERGE","Color","Coyote / Coyote","","","816265028426","PS-NN-CC","19.50","39.95","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-CC.png?v=1688586032","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-2.jpg?v=1688586032","2","","","","","false",""
"8394557030714","northstar-notebook","MERGE","Northstar Notebook","","Zootility","Peak and Port Bags","min 3","REPLACE","2023-07-05 14:02:03 -0400","2024-05-13 21:52:39 -0400","Archived","false","","web","","false","https://wholesale.zootility.com/products/northstar-notebook","9","","","","","45556267024698","MERGE","Color","Hot Pink / Teal","","","816265028365","PS-NN-HPT","19.50","39.95","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-HPT.png?v=1688586032","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-3.jpg?v=1688586032","3","","","","","false",""
"8394557030714","northstar-notebook","MERGE","Northstar Notebook","","Zootility","Peak and Port Bags","min 3","REPLACE","2023-07-05 14:02:03 -0400","2024-05-13 21:52:39 -0400","Archived","false","","web","","false","https://wholesale.zootility.com/products/northstar-notebook","10","","","","","45556267057466","MERGE","Color","White / Navy","","","816265028563","PS-NN-WN","19.50","39.95","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-WN.png?v=1688586032","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-4.jpg?v=1688586032","4","","","","","false",""
