"ID","Title","Body HTML","Vendor","Type","Status","Published","Image Src","Image Position","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Position","Variant SKU","Variant Barcode","Variant Image","Variant Weight","Variant Weight Unit","Variant Price","Variant Compare At Price","Variant Taxable","Variant Tax Code","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Inventory Qty","Variant Inventory Adjust","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: custom.min-qty [number_integer]","Metafield: custom.in_catalog [boolean]","Variant Metafield: custom.in_catalog [boolean]","Variant Metafield: harmonized_system_code [string]"
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-BB.png?v=1688586032","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-CC.png?v=1688586032","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-HPT.png?v=1688586032","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557030714","Northstar Notebook","","Zootility","Peak and Port Bags","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-NN-WN.png?v=1688586032","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557391162","The Rift Belt™- Stainless","<p>The Rift Belt uses a patent-pending ""rift"" slot for infinite adjustability with quick connect, disconnect, and friction-locks without any slippage. Laser cut from Stainless Steel and Abrasion Resistant Nylon, the belt is built to look fashionable day in and day out. This belt is One-Size-Fits-Most up to a 50"" waist. It can be worn as is or can also be cut to length with scissors and seared with a flame.</p>","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS.jpg?v=1688586089","1","47603751518522","45556276429114","MERGE","Color","Black","Size","Regular","","","1","PS-RBS-BLK","816265021830","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS-BLK.png?v=1688586089","0.0","lb","17.50","39.95","false","","","continue","manual","true","","","","","3","true","true",""
"8394557391162","The Rift Belt™- Stainless","","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS-2.jpg?v=1688586089","2","50871274832186","48856308777274","MERGE","Color","Black","Size","Extended","","","2","PS-RBS-BLK-EXT","748252679727","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS-BLK.png?v=1688586089","0.0","lb","22.50","39.95","false","","","continue","manual","true","","","","","","","",""
"8394557391162","The Rift Belt™- Stainless","","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS-BLK.png?v=1688586089","3","47603751551290","45556276461882","MERGE","Color","Gray","Size","Regular","","","3","PS-RBS-GRA","748252681324","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS-GRA.png?v=1688586089","0.0","lb","17.50","39.95","false","","","continue","manual","true","","","","","","","true",""
"8394557391162","The Rift Belt™- Stainless","","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS-GRA.png?v=1688586089","4","50871274864954","48856308810042","MERGE","Color","Gray","Size","Extended","","","4","PS-RBS-GRA-EXT","816265025784","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RBS-GRA.png?v=1688586089","0.0","lb","22.50","39.95","false","","","continue","manual","true","","","","","","","",""
"8394557915450","The Rift Wallet™ - Slim Metal RFID-Blocking","<p>With the capacity to hold more than 10 credit and ID cards, as well as cash folded twice, the Rift Wallet's flexible design accommodates your needs without adding unnecessary bulk. The metal exterior not only exudes a sense of modern sophistication but also provides RFID protection, ensuring your sensitive card information remains safe from wireless skimming threats. <br>The innovative two-finger hole feature sets the Rift Wallet apart from the rest. Effortlessly push your cards up with two fingers, then pinch between the finger holes to ""pop"" the cards up and fan them out, allowing you to quickly and easily access the card you need. <br>Upgrade your carry game with the Rift Wallet – the perfect fusion of security, functionality, and sleek design for those who appreciate a minimalist approach to their everyday essentials.</p>","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RMW.jpg?v=1688586107","1","47603758661946","45556283572538","MERGE","Version","Aluminum","","","","","1","PS-RMW-A","816265024886","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RMW-A.png?v=1688586107","0.0","lb","24.00","49.00","false","","","continue","manual","true","","","","","3","true","true",""
"8394557915450","The Rift Wallet™ - Slim Metal RFID-Blocking","","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RMW-2.jpg?v=1688586107","2","47603758694714","45556283605306","MERGE","Version","Black Aluminum","","","","","2","PS-RMW-BA","816265025760","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RMW-BA.png?v=1688586107","0.0","lb","29.00","59.00","false","","","continue","manual","true","","","","","","","true",""
"8394557915450","The Rift Wallet™ - Slim Metal RFID-Blocking","","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RMW-A.png?v=1688586107","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394557915450","The Rift Wallet™ - Slim Metal RFID-Blocking","","Zootility","Rift Gear","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RMW-BA.png?v=1688586107","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
