Product ID,Variant ID,Product Name (Required),SKU (Required),Variant Name (Required),Option 1 Label,Option 2 Label,Option 3 Label,Option 1 Value,Option 2 Value,Option 3 Value,Product Type,"Barcode (UPC, GTIN, etc)",Minimum Order Quantity,Product Description,Wholesale Price,Retail Price,Online Ordering
46989142,102090443,"Special Request (Min 24, delivery +/- 4 units)",PS-EPW-82,No. 82 (Flaming Skull),Variant,Design,,Elastic Phone Wallet - Prints,No. 82 (Flaming Skull),,Back Catalog,,0,<br>,14.5,29.95,false
46989142,98824731,"Special Request (Min 24, delivery +/- 4 units)",SG-SK-MS,Mississippi,Variant,Design,,Stainless State Keychain,Mississippi,,Back Catalog,816265022455,12,<br>,6.0,11.95,false
46989142,102090821,"Special Request (Min 24, delivery +/- 4 units)",PS-EPW-85,No. 85 (Teal Mountains),Variant,Design,,Elastic Phone Wallet - Prints,No. 85 (Teal Mountains),,Back Catalog,,0,<br>,14.5,29.95,false
46989142,102090823,"Special Request (Min 24, delivery +/- 4 units)",PS-EPW-88,No. 88 (Red Canyon),Variant,Design,,Elastic Phone Wallet - Prints,No. 88 (Red Canyon),,Back Catalog,,0,<br>,14.5,29.95,false
46989142,99137799,"Special Request (Min 24, delivery +/- 4 units)",XBG-AWO-FOX,Fox,Variant,Design,,Animal Bottle Opener Card,Fox,,Back Catalog,816265029263,6,<br>,4.8,11.95,false
46989142,99137798,"Special Request (Min 24, delivery +/- 4 units)",XBG-AWO-MTLN,Mountain Lion,Variant,Design,,Animal Bottle Opener Card,Mountain Lion,,Back Catalog,816265029140,6,<br>,4.8,11.95,false
46989142,98824727,"Special Request (Min 24, delivery +/- 4 units)",SG-SK-MD,Maryland,Variant,Design,,Stainless State Keychain,Maryland,,Back Catalog,816265022417,12,<br>,6.0,11.95,false
46989142,102418251,"Special Request (Min 24, delivery +/- 4 units)",PS-LSW-40,No. 40 (Green Lillies),Variant,Design,,No. 40 (Green Lillies),No. 40,,Back Catalog,816265023735,0,<br>,9.0,17.95,false
46991310,98824507,Faire Exclusive,SG-SCC-NE,Nebraska,Variant,Design,,Cutout Coaster,Nebraska,,Back Catalog,816265025289,12,<br>,14.0,29.95,false
46991310,98824923,Faire Exclusive,PS-VKW-BUR,Burgundy,Variant,Design,,Vertical Keychain Wallet,Burgundy,,Back Catalog,816265027719,3,<br>,14.0,29.95,false
46991310,98824508,Faire Exclusive,SG-SCC-NV,Nevada,Variant,Design,,Cutout Coaster,Nevada,,Back Catalog,816265025296,12,<br>,14.0,29.95,false
46991310,99320704,Faire Exclusive,PS-LSW-76,No. 76 (Pastel Western),Variant,Design,,Leather Single Wallet - Prints,No. 76,,Back Catalog,816265025098,3,<br>,9.0,19.95,false
46991310,98824925,Faire Exclusive,PS-VKW-GRA,Gray,Variant,Design,,Vertical Keychain Wallet,Gray,,Back Catalog,816265027757,3,<br>,14.0,29.95,false
46991310,99320698,Faire Exclusive,PS-LSW-66,No. 66 (Diamond Cockatoo),Variant,Design,,Leather Single Wallet - Prints,No. 66,,Back Catalog,816265029133,3,<br>,9.0,19.95,false
46991310,99320692,Faire Exclusive,PS-LSW-53,No. 53 (Palm Avenue),Variant,Design,,Leather Single Wallet - Prints,No. 53,,Back Catalog,816265029430,3,<br>,9.0,19.95,false
46991310,98824920,Faire Exclusive,PS-VKW-TAN,Tan,Variant,Design,,Vertical Keychain Wallet,Tan,,Back Catalog,816265020352,3,<br>,14.0,29.95,false
46991310,99320667,Faire Exclusive,PS-FPW-52,Front Pocket Wallet - Prints No. 52,Variant,Design,,Front Pocket Wallet,No. 52,,Back Catalog,816265029133,3,<br>,12.0,24.95,false
46991310,99320674,Faire Exclusive,PS-FPW-66,Front Pocket Wallet - Prints No. 66,Variant,Design,,Front Pocket Wallet,No. 66,,Back Catalog,"",3,<br>,12.0,24.95,false
46991310,98824921,Faire Exclusive,PS-VKW-RED,Red,Variant,Design,,Vertical Keychain Wallet,Red,,Back Catalog,816265020413,3,<br>,14.0,29.95,false
46991310,98824889,Faire Exclusive,SG-SNO-NE-B,Nebraska / Brass,Variant,Design,,State Name Bottle Opener,Nebraska,,Back Catalog,816265023483,12,<br>,17.0,34.95,false
46991310,98824872,Faire Exclusive,SG-SNO-GA-B,Georgia / Brass,Variant,Design,,State Name Bottle Opener,Georgia,,Back Catalog,816265023186,12,<br>,17.0,34.95,false
46991310,98824516,Faire Exclusive,SG-SCC-OK,Oklahoma,Variant,Design,,Cutout Coaster,Oklahoma,,Back Catalog,816265024602,12,<br>,14.0,29.95,false
46991310,98824512,Faire Exclusive,SG-SCC-NY,New York,Variant,Design,,Cutout Coaster,New York,,Back Catalog,816265021564,12,<br>,14.0,29.95,false
46991310,98824522,Faire Exclusive,SG-SCC-TN,Tennessee,Variant,Design,,Cutout Coaster,Tennessee,,Back Catalog,816265025425,12,<br>,14.0,29.95,false
46991310,98824526,Faire Exclusive,SG-SCC-VA,Virginia,Variant,Design,,Cutout Coaster,Virginia,,Back Catalog,816265025463,12,<br>,14.0,29.95,false
46991310,98824524,Faire Exclusive,SG-SCC-UT,Utah,Variant,Design,,Cutout Coaster,Utah,,Back Catalog,816265025449,12,<br>,14.0,29.95,false
46991310,98824517,Faire Exclusive,SG-SCC-OR,Oregon,Variant,Design,,Cutout Coaster,Oregon,,Back Catalog,816265025371,12,<br>,14.0,29.95,false
46991310,98824521,Faire Exclusive,SG-SCC-SD,South Dakota,Variant,Design,,Cutout Coaster,South Dakota,,Back Catalog,816265025418,12,<br>,14.0,29.95,false
46991310,99320678,Faire Exclusive,PS-FPW-73,Front Pocket Wallet - Prints No. 73,Variant,Design,,Front Pocket Wallet,No. 73,,Back Catalog,,3,<br>,12.0,24.95,false
46991310,99320545,Faire Exclusive,Z-RB-BLU,Ice Blue,Variant,Design,,Rift Blade - Acrylic,Ice Blue,,Back Catalog,816265024664,3,<br>,12.5,24.95,false
46991310,99320595,Faire Exclusive,PS-CW-BLU,Ice Blue,Variant,Design,,The Cassette Wallet,Ice Blue,,Back Catalog,850015006722,3,<br>,19.5,39.95,false
46991310,99320593,Faire Exclusive,PS-CW-RED,Pepper Red,Variant,Design,,The Cassette Wallet,Pepper Red,,Back Catalog,850015006715,3,<br>,19.5,39.95,false
